telegram_id,username,tickets_count
814066250,fairbers,2390
1078276630,M_571632i,2350
601299576,L0UDDY,2340
6749848272,vip_682,2310
820077821,Findy29,2310
885115030,xClownArrizo,2300
464139061,ggg358,2280
290509463,Layerzeroooo,2240
5801329683,goshachebu,2220
6281691075,usdtrub1,2220
5118679766,XeBerrrrrr,2180
6673834373,imRetry,2180
6336923932,Saskold,2170
1317414799,weqqwe1,2160
5674363120,zbabo,2160
1007340434,denkaoda,2160
113532379,Amsan943,2130
6590881168,or_shadow,2130
442890093,oktamov818,2130
7572437237,Canpat_kot,2120
219594008,coolmonacoboy,2100
7819571926,Mr_Chams,2100
8058639220,cuolprit,2100
466686315,your_shepherd,2100
6686712793,Wapwaprrr,2080
1359516711,Viper129,2070
5486704306,oodoak,2070
309726191,ReliableF,2070
1854539250,NXS_tornado,2050
599079734,medegale,2040
1297732890,crypt_owner,2010
6507338926,redropit,2010
6831261762,JocadoBS,2010
6368713252,eldzs,1980
1030498593,spaceinmind,1980
6030805366,pvjorj,1950
5600862241,gylixaa,1950
6944280214,Cherny777,1950
6608074337,Abo_Elzain,1920
6632954722,ata_nextt,1920
7500899027,aziz2433,1920
857971918,FokusNik13,1900
5095920935,AmirkhonKarimov,1860
2055468237,Bobuzol,1860
5720191759,Volkiriy93,1850
901832707,baraban228882,1830
7801092904,nfgiftemoji,1830
8177480825,Jshsndghgc,1830
6978541797,Jenyyy_Officiall,1830
6018138107,PolIo_so2,1800
5777521414,sioki,1800
6072607541,musaaev,1780
5162343677,disslove,1770
7867311001,stoppom,1770
7302030851,terorblad3,1740
779893290,Vit1010,1740
6057006254,boss_ton,1710
582676556,QQAAZZOG,1690
7449115818,Shaggybeard,1680
7822199312,Kubilayxan,1670
1164230467,dkdlql,1650
5323008931,kappadril,1650
1067326100,WW_sqf,1640
1235594330,Empgod,1630
1326184152,PaulDurovFriend,1630
6096264417,,1630
284725068,matwwey,1620
7366944850,Namelessking_42,1620
7313048706,scorpi2on,1590
1164264857,Romanjooo,1590
2008658982,noattackdefi,1560
6888984788,baxosh_16,1530
1658299048,ShmoukIluvusomuch,1530
5393413294,Anon7vip,1530
6155160903,dragoev,1510
1917646896,Slim_Shady_313,1500
1205049532,netlimona,1500
725443699,ceoton,1500
1059240505,montily,1500
5662919178,zremr,1470
7125346669,Legionpal,1470
968846335,alphapve69,1440
7710484478,Power_litet,1440
1255872044,tatsianakopach,1440
768114275,imzonked777,1430
1551446213,konorleo,1430
6646581619,dev_lexa,1430
1380240057,oblya1,1420
5783150605,bright_mmoonn,1410
6411509537,Yunga_gos_222,1410
1046001065,antoncow,1410
1083318149,Ar_2007V,1390
6693228293,Creatmacker,1380
6925188291,GiftGuarantB0t,1380
613134901,DmtLsdThc,1380
1192509703,lervolverg,1380
763584026,broimceo,1370
7705428110,sfenkgls,1360
8089531241,Artur_Yerov,1350
443455261,LegacyMario,1350
910232298,lubitel_pelmeney,1350
6769704346,plane_tg,1330
6078387800,svetanchelo,1320
848556655,gothicdie,1320
5591384988,pofic777,1320
633301489,Malashss,1310
5156556835,Rama05_05,1290
8187960684,szarum,1290
1069626301,PetruchoKol,1260
1952599087,Dino9001,1260
261894535,weakwill,1260
5156199597,CAHEK_PACTAMAH,1250
1936454597,CCC000CC,1230
1770124448,less_14545,1230
7578693097,vanyastasia,1230
5066616882,Faithful_Jesus,1230
7160885743,SEVERNUl,1200
1056239333,loveksr,1200
7000865104,ValoLife,1200
887007870,rayman,1200
7886397779,nftluvone,1180
7527147676,nikitagg6,1170
8012698237,Tonikov788,1160
757835491,w4oso,1140
5723553316,ArtemGRcom,1140
7218154115,dijdfikd4994,1140
1217718184,jzszx,1110
7780258754,BitGangsterus,1110
1741444399,Sky_Lerrrr,1110
692673727,Alldeadyoung,1090
5637089510,Unec_1,1080
1748108610,qqvvyo,1080
8432027312,klavk1n,1080
7135974061,Nesizz,1080
5841427459,wywyn,1060
7951859619,Kduxidje,1050
424132678,avilment,1050
503118393,razrabotchik,1050
1761217359,youngboyneverfriendly,1050
6236047393,YAK3DZA,1050
542092748,kkiiaammM,1050
5410871794,Pupa_jr,1050
1405494054,xsqqo,1050
1056974088,Sweat6800000,1040
7590978324,Wanda4kaNFT,1040
1913929902,g3ode,1020
6219069758,denis08152,1020
1970599599,Abobus2222gg,1020
581927235,vadyaryadom,1020
5747553171,jean_shok,1020
1055802346,llukinn,1000
6056722095,sosalana,990
7735667326,pocelyemsyaa,990
764667249,Yomtu,990
1678766518,BetaDecay,990
7243227826,zizizizizizizizdd,990
5371494295,wivxz,990
8072398828,islandynamic,980
2067211201,Khanzad_kurd,960
7573742889,KillAngel00911,960
7522096023,stive1104,960
1369163073,wussupgng,950
1126729259,Akatenchick,930
2092581768,n1kotim1,930
1516287588,rane1kay,930
1157071210,ilydylmega,930
1834505941,ezhikcrypto,930
6240571871,Graw1Y,930
7138700145,peronerrrr,910
744700668,markcs2,900
1342189898,igor_kredut,900
1894912084,gogii_67,900
481526201,zZZzVVKS,900
826041987,vladUSSR,900
6897505301,CMEPTbI666,900
1356586468,Svetiika,900
1230646474,Dester_2244,900
782697126,nftplayer,900
2087825536,NoSleepy,900
6132810451,Veruy7,900
7177918525,oaxise,890
275872092,oivana,880
1045348492,suetolog3333,880
1315516119,D_A_N_I_L_400,880
7465938675,motagazian,870
970676337,OvercastW,870
1348151020,valuean,870
6381072947,bIolityys,870
5154916323,tolyhan,870
877629641,Crabiant,870
384866005,asyakoshkina,850
1331284409,romanbebro,850
771216188,artwhdm,840
7798469361,CShtorm,840
768271662,deepins_02,840
1281821403,FIVESTARNURIK,840
1324492313,AK_RAF,840
6955561417,pogosyan_05,840
473999110,sadidike,840
783709286,cvpsl,830
5544928457,loryyyxcvv,830
421772992,zakttt,810
7690452656,BeIoyar,810
6045309879,Kara_pv,810
7179476496,t_madrid2,810
5756235270,TopBeautician,810
6149380634,swagteacher,810
7569960818,,810
1540699593,overfast,810
6644911092,shenGorauz,810
5631152079,amor_temporis,800
5190923257,pashadurov_off,790
6713234848,HALESONO,780
7427038063,vad111k,780
2124269056,emadayn,780
6051121573,vips,780
1948030398,clocm,780
766473508,paatau,780
998421349,qwertycvva,780
7656645177,hakemnft,780
723676776,AlexLidman,780
5618346381,Vlad2836,760
900790103,St_Seby,750
306945713,firs_S,750
1495081334,ipablo_dev,750
5566364193,opflx,750
5203635216,mrspuff2,750
5318605986,Lahnaka,750
6111703350,solechance,750
810951961,ktotakoj,750
6275338795,ceoofduck,740
5180803647,i_love_su4ek,730
8072253439,Alenaxxxoe,720
5814357887,jordandzevich,720
1685313331,otkisaet,720
5344352374,MeGuM1nOT,720
5897547941,xrezzzzz,720
857440859,Fix_heart_A,720
1197064137,wentur0,700
1329992388,smokeswag,700
1115222880,Keep_ur_ton,700
105774673,vwhvwh,690
491757797,v1sualist,690
5109992366,ramik0202,690
1873837469,SinArchbishopOfLove,690
6316188569,talonove,690
6422781919,FusyaGoy,690
5284043474,POUYA_RF1,690
5520483721,,690
811869948,loollein,690
7833791026,c199108,690
2001125701,Rostishka_Oyes,670
7322082289,x9meest,660
5214040601,DoNi_Luxury,660
1050336309,wakeupmeee,660
5989888623,Roma_Daily,660
1755451464,L8KA08,660
966899362,PupsiVups1,660
1292330058,DRAG0NSS,660
63918605,Ahmadelahi,660
1391376585,lem0n41,650
2042944010,monkgem,640
1701682755,styagin,630
7931242710,truebucks,630
7702391782,soulssgift,630
5013859089,Ghoulnish,610
5868853024,Ry1zze14,610
2073548521,whale_fragment,610
160272253,nanakulikova,600
485373944,TakerSoul,600
1813709307,pmdiego,600
1352575814,Assex3,600
762289019,bezdar_cash,600
782944564,kkaver,600
2042377091,Bekinda,600
7052513628,crimekiII,600
865178331,tilxd,600
7027617224,i9_12900k,600
6186324008,IDLUCA,600
5422769004,Juxaju,600
739247122,nfthuh,600
1628701423,Gift_Investor,600
7672698455,neutronw,600
1315983898,rexab_hunter,600
5340281803,blttz,600
634603199,tipidotka,600
8021755803,bagdurov,600
1204412284,just_a_prank_bro,590
5215166798,xyecoc12343,590
5560457243,wpersonxd,580
6354926137,Amin6G,570
5288525763,merkuloff05,570
